Sample ID;Picking sessions;Picking ToC;Library;Reads;Sex;Level 1;Level 2;Level 3;Content
L128_A01;RT-1;RT;L128;350;male;Empty well;Empty well;Empty well;no cell
L128_B01;RT-1;RT;L128;35921;male;NP;NP1;NP1;cell
L128_C01;RT-1;RT;L128;6581;male;TH;TH;TH;cell
L128_D01;RT-1;RT;L128;6387;male;NF;NF4/5;NF5;cell
L128_E01;RT-1;RT;L128;12485;male;TH;TH;TH;cell
L128_F01;RT-1;RT;L128;5387;male;NP;NP1;NP1;cell
L128_G01;RT-1;RT;L128;56232;male;NP;NP1;NP1;cell
L128_H01;RT-1;RT;L128;38759;male;NF;NF2/3;NF2;cell
L128_A02;RT-1;RT;L128;38620;male;NF outlier;NF outlier;NF outlier;cell
L128_B02;RT-1;RT;L128;16615;male;NF;NF4/5;NF5;cell
L128_C02;RT-1;RT;L128;50280;male;NF;NF4/5;NF5;cell
L128_D02;RT-1;RT;L128;9133;male;TH;TH;TH;cell
L128_E02;RT-1;RT;L128;33694;male;NF;NF2/3;NF3;cell
L128_F02;RT-1;RT;L128;16528;male;NP;NP1;NP1;cell
L128_G02;RT-1;RT;L128;10207;male;NP;NP1;NP1;cell
L128_H02;RT-1;RT;L128;14562;male;NP;NP1;NP1;cell
L128_A03;RT-1;RT;L128;30167;male;NF;NF2/3;NF2;cell
L128_B03;RT-1;RT;L128;14529;male;NF;NF2/3;NF2;cell
L128_C03;RT-1;RT;L128;681;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L128_D03;RT-1;RT;L128;45321;male;NF;NF2/3;NF2;cell
L128_E03;RT-1;RT;L128;64567;male;NF;NF2/3;NF2;cell
L128_F03;RT-1;RT;L128;18774;male;NP;NP2;NP2;cell
L128_G03;RT-1;RT;L128;26240;male;TH;TH;TH;cell
L128_H03;RT-1;RT;L128;6012;male;PEP;PEP2;PEP2;cell
L128_A04;RT-1;RT;L128;18810;male;NP;NP1;NP1;cell
L128_B04;RT-1;RT;L128;23138;male;NP;NP1;NP1;cell
L128_C04;RT-1;RT;L128;29655;male;NF;NF4/5;NF4;cell
L128_D04;RT-1;RT;L128;5681;male;NP;NP2;NP2;cell
L128_E04;RT-1;RT;L128;6998;male;PEP;PEP1;PEP1;cell
L128_F04;RT-1;RT;L128;54825;male;NF;NF2/3;NF2;cell
L128_G04;RT-1;RT;L128;49430;male;NF;NF4/5;NF5;cell
L128_H04;RT-1;RT;L128;17154;male;NP;NP1;NP1;cell
L128_A05;RT-1;RT;L128;1081;male;NP;NP1;NP1;cell
L128_B05;RT-1;RT;L128;37761;male;NF;NF4/5;NF5;cell
L128_C05;RT-1;RT;L128;28930;male;NP;NP1;NP1;cell
L128_D05;RT-1;RT;L128;18178;male;NF;NF4/5;NF4;cell
L128_E05;RT-1;RT;L128;3369;male;PEP;PEP1;PEP1;cell
L128_F05;RT-1;RT;L128;15823;male;NP;NP1;NP1;cell
L128_G05;RT-1;RT;L128;62447;male;NF;NF2/3;NF2;cell
L128_H05;RT-1;RT;L128;4613;male;NP;NP1;NP1;cell
L128_A06;RT-1;RT;L128;12174;male;TH;TH;TH;cell
L128_B06;RT-1;RT;L128;6358;male;TH;TH;TH;cell
L128_C06;RT-1;RT;L128;9418;male;TH;TH;TH;cell
L128_D06;RT-1;RT;L128;37396;male;NF;NF2/3;NF2;cell
L128_E06;RT-1;RT;L128;15526;male;NP;NP2;NP2;cell
L128_F06;RT-1;RT;L128;30494;male;NF;NF2/3;NF3;cell
L128_G06;RT-1;RT;L128;24458;male;NP;NP1;NP1;cell
L128_H06;RT-1;RT;L128;12153;male;NP;NP1;NP1;cell
L128_A07;RT-1;RT;L128;661;male;Empty well;Empty well;Empty well;no cell
L128_B07;RT-1;RT;L128;198;male;Empty well;Empty well;Empty well;no cell
L128_C07;RT-1;RT;L128;638;male;Empty well;Empty well;Empty well;no cell
L128_D07;RT-1;RT;L128;958;male;Empty well;Empty well;Empty well;no cell
L128_E07;RT-1;RT;L128;108;male;Empty well;Empty well;Empty well;no cell
L128_F07;RT-1;RT;L128;1185;male;Central, unsolved;Central, unsolved;Central, unsolved;cell
L128_G07;RT-1;RT;L128;11503;male;NP;NP1;NP1;cell
L128_H07;RT-1;RT;L128;56064;male;NF;NF1;NF1;cell
L128_A08;RT-1;RT;L128;51240;male;NF;NF1;NF1;cell
L128_B08;RT-1;RT;L128;7205;male;TH;TH;TH;cell
L128_C08;RT-1;RT;L128;23689;male;NP;NP1;NP1;cell
L128_D08;RT-1;RT;L128;17751;male;NP;NP1;NP1;cell
L128_E08;RT-1;RT;L128;6892;male;NP;NP2;NP3;cell
L128_F08;RT-1;RT;L128;17486;male;NP;NP2;NP2;cell
L128_G08;RT-1;RT;L128;16881;male;TH;TH;TH;cell
L128_H08;RT-1;RT;L128;83098;male;NF;NF2/3;NF3;cell
L128_A09;RT-1;RT;L128;38932;male;PEP;PEP2;PEP2;cell
L128_B09;RT-1;RT;L128;12221;male;NF;NF1;NF1;cell
L128_C09;RT-1;RT;L128;17423;male;TH;TH;TH;cell
L128_D09;RT-1;RT;L128;4963;male;PEP;PEP1;PEP1;cell
L128_E09;RT-1;RT;L128;24871;male;TH;TH;TH;cell
L128_F09;RT-1;RT;L128;52914;male;PEP;PEP2;PEP2;cell
L128_G09;RT-1;RT;L128;17666;male;TH;TH;TH;cell
L128_H09;RT-1;RT;L128;55527;male;NF;NF2/3;NF2;cell
L128_A10;RT-1;RT;L128;22954;male;TH;TH;TH;cell
L128_B10;RT-1;RT;L128;22448;male;NP;NP1;NP1;cell
L128_C10;RT-1;RT;L128;34748;male;NP;NP2;NP2;cell
L128_D10;RT-1;RT;L128;36192;male;NF;NF1;NF1;cell
L128_E10;RT-1;RT;L128;49072;male;NF;NF2/3;NF2;cell
